id,hub,sport,team,opponent,event,competition,round_or_type,start_date,end_date,start_time,venue,city,country,home_away,watch,logo,image,link,source_name,source_url,data_status,notes
1,West Ham,Football,West Ham United,TBC,2026/27 fixtures release reminder,2026/27 season,Fixture release,2026-06-19,,10:00,Online,London,England,TBC,West Ham official site / relevant league site,westham-logo.png,westham-bg.png,https://www.whufc.com/en/matches/mens-team/fixtures,West Ham United,https://www.whufc.com/en/matches/mens-team/fixtures,not_released,Official West Ham site says 2026/27 fixtures will be confirmed soon.
2,West Ham,Football,West Ham United,TBC,2026/27 league season start window,Domestic league,Season start placeholder,2026-08-22,,TBC,TBC,TBC,England,TBC,TBC,westham-logo.png,westham-bg.png,https://www.whufc.com/en/matches/mens-team/fixtures,West Ham United / Premier League,https://www.premierleague.com/en/news/4625358/when-are-the-202627-premier-league-fixtures-released,placeholder,"Premier League published 22 Aug 2026 as PL start date, but West Ham specific fixtures are not yet published."
3,Formula 1,Motorsport,Formula 1,,Pre-season Testing,FIA Formula One World Championship,Testing 1,2026-02-11,2026-02-13,TBC,Bahrain International Circuit,Sakhir,Bahrain,,Sky Sports F1 / F1 TV depending on region,f1-logo.jpeg,f1-bg.jpeg,https://www.formula1.com/en/racing/2026,Formula 1,https://www.formula1.com/en/racing/2026,confirmed,Weekend dates; session times can be added later.
4,Formula 1,Motorsport,Formula 1,,Pre-season Testing,FIA Formula One World Championship,Testing 2,2026-02-18,2026-02-20,TBC,Bahrain International Circuit,Sakhir,Bahrain,,Sky Sports F1 / F1 TV depending on region,f1-logo.jpeg,f1-bg.jpeg,https://www.formula1.com/en/racing/2026,Formula 1,https://www.formula1.com/en/racing/2026,confirmed,Weekend dates; session times can be added later.
5,Formula 1,Motorsport,Formula 1,,Australian Grand Prix,FIA Formula One World Championship,Round 1,2026-03-06,2026-03-08,TBC,Albert Park Circuit,Melbourne,Australia,,Sky Sports F1 / F1 TV depending on region,f1-logo.jpeg,f1-bg.jpeg,https://www.formula1.com/en/racing/2026,Formula 1,https://www.formula1.com/en/racing/2026,confirmed,Weekend dates; session times can be added later.
6,Formula 1,Motorsport,Formula 1,,Chinese Grand Prix,FIA Formula One World Championship,Round 2,2026-03-13,2026-03-15,TBC,Shanghai International Circuit,Shanghai,China,,Sky Sports F1 / F1 TV depending on region,f1-logo.jpeg,f1-bg.jpeg,https://www.formula1.com/en/racing/2026,Formula 1,https://www.formula1.com/en/racing/2026,confirmed,Weekend dates; session times can be added later.
7,Formula 1,Motorsport,Formula 1,,Japanese Grand Prix,FIA Formula One World Championship,Round 3,2026-03-27,2026-03-29,TBC,Suzuka Circuit,Suzuka,Japan,,Sky Sports F1 / F1 TV depending on region,f1-logo.jpeg,f1-bg.jpeg,https://www.formula1.com/en/racing/2026,Formula 1,https://www.formula1.com/en/racing/2026,confirmed,Weekend dates; session times can be added later.
8,Formula 1,Motorsport,Formula 1,,Miami Grand Prix,FIA Formula One World Championship,Round 4,2026-05-01,2026-05-03,TBC,Miami International Autodrome,Miami,United States,,Sky Sports F1 / F1 TV depending on region,f1-logo.jpeg,f1-bg.jpeg,https://www.formula1.com/en/racing/2026,Formula 1,https://www.formula1.com/en/racing/2026,confirmed,Weekend dates; session times can be added later.
9,Formula 1,Motorsport,Formula 1,,Canadian Grand Prix,FIA Formula One World Championship,Round 5,2026-05-22,2026-05-24,TBC,Circuit Gilles Villeneuve,Montreal,Canada,,Sky Sports F1 / F1 TV depending on region,f1-logo.jpeg,f1-bg.jpeg,https://www.formula1.com/en/racing/2026,Formula 1,https://www.formula1.com/en/racing/2026,confirmed,Weekend dates; session times can be added later.
10,Formula 1,Motorsport,Formula 1,,Monaco Grand Prix,FIA Formula One World Championship,Round 6,2026-06-05,2026-06-07,TBC,Circuit de Monaco,Monte Carlo,Monaco,,Sky Sports F1 / F1 TV depending on region,f1-logo.jpeg,f1-bg.jpeg,https://www.formula1.com/en/racing/2026,Formula 1,https://www.formula1.com/en/racing/2026,confirmed,Weekend dates; session times can be added later.
